Year,Production,Unit of Measure,Growth Rate
1960,36877,(1000 MT),NA
1961,33557,(1000 MT),-9.00%
1962,29719,(1000 MT),-11.44%
1963,31216,(1000 MT),5.04%
1964,34917,(1000 MT),11.86%
1965,34917,(1000 MT),0.00%
1966,35788,(1000 MT),2.49%
1967,41014,(1000 MT),14.60%
1968,42375,(1000 MT),3.32%
1969,39272,(1000 MT),-7.32%
1970,36795,(1000 MT),-6.31%
1971,44052,(1000 MT),19.72%
1972,42081,(1000 MT),-4.47%
1973,46560,(1000 MT),10.64%
1974,48496,(1000 MT),4.16%
1975,57885,(1000 MT),19.36%
1976,58480,(1000 MT),1.03%
1977,55670,(1000 MT),-4.81%
1978,48322,(1000 MT),-13.20%
1979,58080,(1000 MT),20.19%
1980,64798,(1000 MT),11.57%
1981,75805,(1000 MT),16.99%
1982,75250,(1000 MT),-0.73%
1983,65857,(1000 MT),-12.48%
1984,70618,(1000 MT),7.23%
1985,65974,(1000 MT),-6.58%
1986,56896,(1000 MT),-13.76%
1987,57362,(1000 MT),0.82%
1988,49320,(1000 MT),-14.02%
1989,55428,(1000 MT),12.38%
1990,74292,(1000 MT),34.03%
1991,53891,(1000 MT),-27.46%
1992,67135,(1000 MT),24.58%
1993,65220,(1000 MT),-2.85%
1994,63167,(1000 MT),-3.15%
1995,59404,(1000 MT),-5.96%
1996,61980,(1000 MT),4.34%
1997,67534,(1000 MT),8.96%
1998,69327,(1000 MT),2.65%
1999,62475,(1000 MT),-9.88%
2000,60641,(1000 MT),-2.94%
2001,53001,(1000 MT),-12.60%
2002,43705,(1000 MT),-17.54%
2003,63805,(1000 MT),45.99%
2004,58698,(1000 MT),-8.00%
2005,57243,(1000 MT),-2.48%
2006,49217,(1000 MT),-14.02%
2007,55821,(1000 MT),13.42%
2008,68363,(1000 MT),22.47%
2009,60117,(1000 MT),-12.06%
2010,58868,(1000 MT),-2.08%
2011,54244,(1000 MT),-7.85%
2012,61298,(1000 MT),13.00%
2013,58105,(1000 MT),-5.21%
2014,55147,(1000 MT),-5.09%
2015,56117,(1000 MT),1.76%
2016,62832,(1000 MT),11.97%
2017,47380,(1000 MT),-24.59%
2018,51306,(1000 MT),8.29%
2019,52581,(1000 MT),2.49%
2020,49751,(1000 MT),-5.38%
2021,44804,(1000 MT),-9.94%
2022,44902,(1000 MT),0.22%
